nutrition_simplified
name,protein,fat,carbs,Macro
yam raw,2.3,0.3,41.8,carbs
chowchow pickles,3.7,2.2,65.3,carbs
prairie turnips raw,0.3,0.03,4.5,carbs
savoy cabbage raw,1.4,0.02,4.3,carbs
celery raw,0.3,0.04,1.2,carbs
celeriac cooked,1.5,0.3,9.1,carbs
mustard spinach raw,3.3,0.5,5.9,carbs
zucchini raw,3.1,0.8,8.1,carbs
okra cooked,3.0,0.3,7.2,carbs
white icicle radish,1.1,0.1,2.6,carbs
orange tomato,1.3,0.2,3.5,carbs
pumpkin leaves raw,1.2,0.2,0.9,protein
spaghetti squash cooked,1.0,0.4,10.0,carbs
white corn cooked,3.4,1.5,22.4,carbs
artichoke cooked,3.5,0.4,14.3,carbs
avocado,5.4,39.6,23.0,fat
string beans wellsley farms,0.3,0.0,1.7,carbs
lambs quarters cooked,5.8,1.3,9.0,carbs
peas cooked,8.6,0.4,25.0,carbs
beets cooked,0.8,0.08,5.0,carbs
shallots dried,0.1,0.01,0.7,carbs
green lettuce,2.0,0.2,4.3,carbs
kohlrabi cooked,3.0,0.2,11.0,carbs
kanpyo dried,4.6,0.3,35.1,carbs
prairie turnips boiled,0.2,0.09,4.2,carbs
broccoli raab cooked,3.3,0.4,2.7,protein
summer squash cooked,2.7,1.0,9.9,carbs
taro cooked,0.7,0.1,45.7,carbs
spring onion scallions,0.4,0.08,1.5,carbs
hubbard squash cooked,2.8,0.7,12.3,carbs
jalapeno pepper,0.1,0.0,0.9,carbs
new zealand spinach cooked,2.3,0.3,3.8,carbs
sesbania flower raw,0.01,0.1,0.2,carbs
spirulina dried,4.0,0.5,1.7,protein
chinese cabbage pe tsai cooked,1.8,0.2,2.9,carbs
zucchini cooked,2.1,0.6,4.8,carbs
green olives pickled,0.07,0.4,0.1,fat
lotus root raw,3.0,0.1,19.8,carbs
grape leaves,0.8,0.3,2.4,carbs
dill pickled cucumber,0.9,0.2,3.7,carbs
skunk cabbage,1.5,0.1,1.8,carbs
banana pepper,0.5,0.1,1.8,carbs
oriental radish raw,2.0,0.3,13.9,carbs
purslane cooked,1.7,0.2,4.1,carbs
rhubarb raw,0.5,0.1,2.3,carbs
swamp cabbage,2.0,0.2,3.6,carbs
mung bean sprouts raw,0.6,0.04,1.2,carbs
onion cooked,0.2,0.03,1.5,carbs
swiss chard raw,0.6,0.04,1.3,carbs
peas raw,7.9,0.6,21.0,carbs
cabbage cooked,1.9,0.02,8.3,carbs
taro leaves cooked,3.9,0.6,5.6,carbs
leeks cooked,1.0,0.2,9.4,carbs
split peas cooked,16.3,0.8,40.2,carbs
sweet corn yellow,4.1,0.4,14.2,carbs
asparagus raw,0.3,0.04,0.5,carbs
collard cooked,5.1,1.4,10.7,carbs
swiss chard cooked,3.3,0.1,7.2,carbs
nopales cooked,2.0,0.0,4.9,carbs
tahitian taro cooked,5.7,0.9,9.4,carbs
chinese cabbage pak choi raw,1.1,0.1,1.5,carbs
green chili pepper,0.9,0.1,4.3,carbs
mountain yam raw,1.8,0.1,22.2,carbs
parsnips cooked,2.1,0.5,27.2,carbs
tomato stewed,2.4,3.3,16.1,carbs
sweet green peppers cooked,0.7,0.1,4.5,carbs
white corn raw,5.3,2.0,31.6,carbs
rutabaga raw,8.3,1.2,66.5,carbs
jalapeno peppers canned,1.3,1.3,6.4,carbs
pumpkin canned,2.7,0.7,19.8,carbs
peas onions canned,3.9,0.5,10.3,carbs
sweet mashed potato canned,5.0,0.5,59.1,carbs
hominy canned,2.4,1.5,23.5,carbs
tomato puree canned,4.1,0.5,22.5,carbs
dried tomatoes canned in oil,0.2,0.4,0.7,carbs
mixed vegetables canned,3.5,0.6,17.5,carbs
straw mushrooms canned,0.2,0.09,0.3,carbs
capers canned,0.2,0.09,0.4,carbs
red peppers canned,0.7,0.06,3.7,carbs
carrots canned,2.6,0.6,24.4,carbs
tomatoes in tomato juice canned,1.9,0.3,9.6,carbs
asparagus canned,7.4,0.7,10.2,carbs
sweet red peppers canned,1.1,0.4,5.5,carbs
onions canned,0.5,0.08,2.5,carbs
turnip greens canned,2.0,0.4,4.0,carbs
hearts of palm,0.8,0.2,1.5,carbs
spinach canned,4.9,0.9,6.8,carbs
sweet potato canned,6.3,1.3,133.5,carbs
corn canned,1.6,0.6,11.1,carbs
peas carrots canned,5.5,0.7,21.6,carbs
crookneck squash canned,1.3,0.1,6.2,carbs
tomatoes canned,4.0,0.7,17.6,carbs
pimento canned,2.1,0.6,9.8,carbs
sweet green peppers canned,1.1,0.4,5.5,carbs
peas canned,3.5,0.8,9.5,carbs
chili peppers canned,1.0,0.4,6.4,carbs
green peppers canned,0.7,0.07,3.7,carbs
grape leaves canned,1.2,0.6,3.3,carbs
sauerkraut canned,1.3,0.2,6.1,carbs
beets canned,2.0,0.2,16.2,carbs
stewed tomatoes canned,2.3,0.5,15.8,carbs
tomato paste canned,11.3,1.2,49.5,carbs
bacon ranch salad mcdonalds,28.1,20.1,19.4,protein
caesar salad with grilled chicken mcdonalds,29.1,5.6,11.3,protein
caesar salad mcdonalds,6.8,4.4,9.1,carbs
vegetable salad,1.7,0.05,4.4,carbs
vegetable salad with chicken,11.6,1.5,2.5,protein
potato salad,6.7,20.5,27.9,carbs
taco salad taco bell,35.7,48.9,80.5,carbs
iceberg lettuce,0.5,0.04,1.7,carbs
cornsalad,1.1,0.2,2.0,carbs
potato salad with egg,4.9,23.5,40.5,carbs
side salad mcdonalds,0.9,0.2,3.7,carbs
caesar salad with crispy chicken mcdonalds,25.7,16.4,19.2,protein
grape apple salad with walnuts,3.5,8.2,25.6,carbs
vegetable salad with cheese egg,5.8,3.9,3.2,protein
celtuce,0.07,0.09,0.3,carbs
arugula,0.5,0.1,0.7,carbs
vegetable salad with shrimp,9.7,1.7,4.4,protein
coleslaw,1.8,18.9,28.4,carbs
shiitake mushrooms cooked,0.3,0.01,2.6,carbs
shiitake mushrooms raw,0.4,0.04,1.3,carbs
crimini mushrooms,0.2,0.02,0.3,carbs
mushrooms raw,2.2,0.2,2.3,carbs
portabella mushrooms grilled,4.0,0.7,5.4,carbs
maitake mushrooms,0.02,0.02,0.07,carbs
shiitake mushrooms dried,0.3,0.06,2.7,carbs
chanterelle mushrooms,0.03,0.06,0.4,carbs
cloud ear fungus dried,2.6,0.2,20.4,carbs
mushrooms cooked,3.4,0.7,8.3,carbs
pepeao dried,1.2,0.1,19.4,carbs
truffles,0.7,4.1,5.4,carbs
jews ear,0.5,0.1,6.7,carbs
enoki mushrooms,0.06,0.1,0.2,carbs
morel mushrooms,0.4,0.07,0.7,carbs
portabella mushrooms raw,1.8,0.3,3.3,carbs
oyster mushroom,0.5,0.04,0.9,carbs
chocolate pudding fat free,2.2,0.3,23.6,carbs
tapioca pudding,2.1,4.3,23.9,carbs
tapioca pudding fat free,1.6,0.4,23.9,carbs
rice pudding,3.6,2.4,20.8,carbs
corn pudding,11.1,12.6,42.4,carbs
chocolate pudding,3.1,6.9,34.5,carbs
lemon pudding,4.1,4.4,30.2,carbs
vanilla pudding,2.2,5.7,33.9,carbs
profeel proteiinirahka valio,175.0,0.4,19.3,protein
cottage cheese creamed,2.2,0.9,0.7,protein
zaziki milfina,0.0,4.4,0.0,fat
cottage cheese low fat,28.0,2.3,6.1,protein
cottage cheese nonfat,15.0,0.4,9.7,protein
vanilla yogurt low fat,12.1,3.1,33.8,carbs
classique yogurt plain 2 liberte,3.3,1.2,1.7,protein
yoplait light strawberry yogurt yoplait,0.0,0.0,0.07,carbs
vanilla yogurt,8.4,2.1,23.5,carbs
chocolate yogurt,5.3,0.0,35.3,carbs
yogurt parfait,5.0,1.5,23.6,carbs
yogurt,5.2,4.9,7.0,carbs
chocolate frozen yogurt,5.2,6.3,37.6,carbs
frozen yogurt,5.2,6.3,37.6,carbs
yogurt low fat,12.9,3.8,17.2,carbs
vanilla yoghurt oikos,0.0,1.8,0.0,fat
fruit yogurt,6.0,1.7,28.0,carbs
danone low fat alsafi,0.0,1.7,0.09,fat
fruit n yogurt parfait mcdonalds,4.1,1.9,30.9,carbs
triple zero greek yogurt dannon oikos,0.04,0.0,22.5,carbs
greek yogurt,17.3,0.7,6.1,protein
chocolate rasberry protein mini proteinfx,0.0,2.9,0.0,fat
gushers fruit gushers,0.0,6.0,0.2,fat
egg fried,6.3,6.8,0.4,fat
glucerna abbott,0.0,35.6,120.9,carbs
sports drink,0.0,0.0,7.2,carbs
peanut butter cookie protein syntha 6,0.0,6.0,5.0,fat
hanfprotein pulver rohkostqualitat veganz,0.0,3.1,14.2,carbs
smoothie high protein creamy chocolate slimfast,12.0,3.5,2.1,protein
egg large,0.0,9.3,0.0,fat
boysenberries frozen,1.5,0.3,16.1,carbs
malt beverage,0.5,0.3,19.1,carbs
chocolate powder for milk,1.0,0.5,19.9,carbs
vegetable fruit juice,0.07,0.02,2.2,carbs
cocoa powder unsweetened,1.1,0.7,3.1,carbs
coconut milk,0.3,3.6,0.8,fat
cocoa powder,0.5,0.3,5.9,carbs
rice drink,0.7,2.3,22.0,carbs
coconut water,1.7,0.5,8.9,carbs
caramel med iced coffee dunkin donuts,0.0,9.0,0.0,fat
instant coffee with water decaffeinated,0.2,0.0,0.8,carbs
instant coffee powder,12.2,0.5,75.4,carbs
instant coffee powder decaffeinated,0.2,0.07,1.4,carbs
instant cappuccino powder,0.4,0.7,11.2,carbs
coffee decaffeinated,0.2,0.0,0.0,protein
espresso decaffeinated,0.06,0.01,0.5,carbs
instant coffee with water,0.2,0.0,0.6,carbs
coffee,0.3,0.07,0.0,protein
espresso,0.02,0.09,0.5,carbs
whey protein powder vanilla eas,0.0,1.7,0.0,fat
energy drink sugar free red bull,0.6,0.2,1.8,carbs
powerade coca cola,0.0,0.01,2.3,carbs
amp energy pepsi,0.6,0.2,29.0,carbs
gatorade g2 pepsi,0.07,0.05,0.6,carbs
amp energy sugar free pepsi,0.0,0.0,2.5,carbs
energy drink red bull,1.2,0.0,26.4,carbs
powerade zero ion4 coca cola,0.0,0.0,0.0,protein
full throttle coca cola,0.6,0.2,29.0,carbs
passion fruit juice purple,1.7,0.4,35.7,carbs
pomegranate juice,0.4,0.7,32.7,carbs
cranberry apricot juice,0.5,0.0,39.7,carbs
pineapple juice,0.9,0.3,32.2,carbs
passion fruit juice yellow,1.0,0.1,33.6,carbs
orange apricot juice,0.8,0.3,31.8,carbs
tangerine juice,1.2,0.5,24.9,carbs
orange juice,1.4,0.4,20.8,carbs
grapefruit juice,1.2,0.2,22.7,carbs
pineapple grapefruit juice,0.5,0.3,29.0,carbs
tamarind nectar,0.2,0.3,37.0,carbs
apple juice,0.2,0.3,28.0,carbs
limeade,0.0,0.0,34.1,carbs
guava nectar,0.2,0.2,40.8,carbs
orange grapefruit juice,1.5,0.2,25.4,carbs
orange juice sainsburys,0.0,0.09,0.0,fat
cranberry apple juice,0.0,0.3,38.8,carbs
pineapple orange juice,3.3,0.0,29.5,carbs
pear nectar,0.3,0.06,39.4,carbs
blackberry juice,0.8,1.5,19.5,carbs
lemon juice,0.9,0.6,16.6,carbs
cranberry grape juice,0.5,0.2,34.3,carbs
citrus fruit juice,0.8,0.06,28.3,carbs
prune juice,1.6,0.01,44.7,carbs
guanabana nectar,0.3,0.4,37.5,carbs
fruit juice,0.3,0.1,26.3,carbs
horchata,0.1,0.2,3.3,carbs
fruit punch,0.2,0.4,24.4,carbs
apricot nectar,0.9,0.2,35.7,carbs
orangensaft ja,0.0,0.0,1.4,carbs
fruchtcocktail granini,0.0,0.4,1.0,carbs
peach nectar,0.5,1.3,29.7,carbs
orange pineapple juice,0.1,0.08,3.6,carbs
cranberry juice,0.8,0.3,24.4,carbs
white grapefruit juice,1.2,0.2,22.7,carbs
mango nectar,0.3,0.2,32.9,carbs
acerola cherry juice,1.0,0.7,11.6,carbs
apple juice concentrate,1.1,0.8,86.5,carbs
papaya nectar,0.4,0.4,36.3,carbs
apple juice martinellis,0.0,0.0,0.0,protein
lime juice,1.0,0.2,20.4,carbs
grape juice,0.9,0.3,37.4,carbs
water dannon,0.0,0.0,0.0,protein
tap water,0.0,0.0,0.0,protein
table water,0.0,0.0,0.0,protein
fruit flavored water,0.0,0.0,13.0,carbs
water,0.0,0.0,0.0,protein
cola light coca cola,0.0,0.0,0.0,protein
lemon lime soda,0.3,0.0,38.4,carbs
tonic water,0.0,0.0,29.6,carbs
lemonade low calorie,0.09,0.0,1.6,carbs
ginger ale,0.0,0.0,17.5,carbs
ice tea lemon flavor nestle,0.0,0.0,22.3,carbs
sprite coca cola,0.1,0.06,20.3,carbs
cola coca cola,0.0,0.0,38.9,carbs
cola,0.1,0.07,19.1,carbs
cream soda,0.0,0.0,65.7,carbs
club soda,0.0,0.0,0.0,protein
pink lemonade,0.1,0.3,21.6,carbs
grape soda,0.0,0.0,41.7,carbs
cola without caffeine coca cola,0.0,0.0,38.9,carbs
white lemonade,0.1,0.0,20.8,carbs
chocolate soda,0.0,0.0,52.6,carbs
sweet tea lipton,0.0,0.0,35.0,carbs
hibiscus tea,0.9,1.3,14.8,carbs
instant lemon tea,0.1,0.0,0.3,carbs
pesca tea santal,0.0,0.0,0.0,protein
instant lemon tea sweetened,0.07,0.2,22.3,carbs
tea with milk and sugar yorkshire,0.0,0.5,0.4,fat
tea blueberry muffin tekanne,0.0,0.2,0.4,carbs
chamomile tea,0.0,0.0,0.4,carbs
black tea,0.0,0.0,0.7,carbs
herb tea,0.0,0.0,0.4,carbs
clam tomato juice,1.0,0.3,18.2,carbs
tomato juice,2.1,0.7,8.6,carbs
vegetable juice,1.5,0.2,11.1,carbs
tomato vegetable juice,1.5,0.2,11.1,carbs
carrot juice,1.9,0.3,18.6,carbs
acorn dried,2.3,8.9,15.2,carbs
fenugreek seeds,2.6,0.7,6.5,carbs
peanut topping mcdonalds,7.9,15.0,4.6,fat
beechnuts dried,1.9,15.0,10.1,fat
breadnut tree seeds raw,1.7,0.3,13.1,carbs
cumin seeds,0.4,0.5,0.9,carbs
pili nuts dried,13.0,95.5,4.8,fat
hazelnuts roasted,4.5,18.7,5.3,fat
lupins cooked,25.8,4.8,15.4,protein
hazelnuts blanched,3.9,17.3,4.8,fat
brazilnuts dried,0.7,3.3,0.6,fat
sunflower seeds dry roasted,1.5,4.0,1.9,fat
ginkgo nuts canned,3.5,2.5,34.3,carbs
peanuts cooked,24.3,39.6,38.3,fat
pumpkin squash seeds dried,39.0,63.3,13.8,fat
cashew nuts raw,5.2,12.4,8.5,fat
sunflower seeds dried,9.6,23.7,9.2,fat
lotus seeds dried,4.9,0.6,20.6,carbs
butternuts dried,29.9,68.4,14.5,fat
sesame seeds dried,1.6,4.5,2.1,fat
breadfruit seeds,2.2,1.7,8.8,carbs
pinyon pine nuts dried,0.08,0.07,0.01,protein
pine nuts dried,18.5,92.3,17.7,fat
flaxseeds,1.9,4.3,3.0,fat
safflower seed kernels dried,4.6,10.9,9.7,fat
pistachio nuts raw,24.9,55.8,33.8,fat
peanuts raw,37.7,71.9,23.5,fat
poppy seeds,1.6,3.7,2.5,fat
valencia peanuts raw,36.6,69.5,30.5,fat
spanish peanuts,38.2,72.4,23.1,fat
dill seeds,1.1,1.0,3.6,carbs
caraway seeds,1.3,1.0,3.3,carbs
acorn raw,1.7,6.8,11.5,carbs
almonds roasted,6.4,16.6,5.3,fat
lotus seeds raw,1.2,0.1,4.9,carbs
chestnuts cooked,0.6,0.4,7.9,carbs
alfalfa seeds,0.1,0.08,0.0,protein
virginia peanuts roasted,7.8,14.6,6.0,fat
hazelnuts raw,11.2,45.6,12.5,fat
anise seeds,0.4,0.3,1.1,carbs
macadamia nuts roasted,2.3,22.8,4.0,fat
studentenfutter alnatura,3.1,7.8,13.2,carbs
pumpkin squash seeds roasted,2.4,3.9,1.2,fat
water chestnut raw,1.7,0.1,29.7,carbs
chestnuts roasted,0.5,0.3,7.9,carbs
ginkgo nuts raw,1.2,0.5,10.6,carbs
almonds raw,0.3,0.7,0.3,fat
peanuts roasted,8.4,15.8,4.6,fat
sunflower seeds toasted,23.1,76.1,27.6,fat
sisymbrium seeds,9.0,3.4,43.1,carbs
breadnut tree seeds dried,13.8,2.7,127.0,carbs
pecans raw,10.0,78.4,15.1,fat
chia seeds dried,4.7,8.7,11.9,carbs
japanese chestnuts roasted,0.8,0.2,12.8,carbs
sesame seeds toasted,1.4,3.8,2.1,fat
cashew nuts roasted,5.1,14.3,9.0,fat
lupins raw,65.1,17.5,72.7,carbs
mustard seeds ground,0.5,0.7,0.6,fat
mixed nuts roasted,5.2,15.4,7.6,fat
salat mix alestro,0.0,5.2,2.4,fat
chestnuts raw,3.5,3.3,66.0,carbs
pistachio nuts roasted,6.3,13.7,8.5,fat
walnut,0.8,3.3,0.7,fat
celery seeds,1.2,1.6,2.7,carbs
hickorynuts dried,15.3,77.2,21.9,fat
spanish peanuts roasted,41.2,72.1,25.7,fat
woca seeds dried,2.2,0.3,22.6,carbs
pecans roasted,2.8,22.6,3.9,fat
fennel seeds,0.3,0.3,1.0,carbs
chinese chestnuts roasted,1.3,0.3,14.8,carbs
watermelon seed kernels dried,30.6,51.2,16.5,fat
macadamia nuts raw,0.4,4.0,0.7,fat
pectin,0.2,0.2,45.2,carbs
black walnut dried,1.2,3.0,0.5,fat
water chestnut canned,1.2,0.02,17.2,carbs
ginkgo nuts dried,2.9,0.6,20.5,carbs
virginia peanuts raw,36.8,71.2,24.1,fat
valencia peanuts roasted,8.1,15.4,4.9,fat
nesfit diet cereal nestle,0.0,0.0,0.0,protein
corn grits cooked,4.4,1.2,37.9,carbs
amaranth flakes,5.9,2.7,27.0,carbs
granola,8.2,14.6,32.3,carbs
muesli with fruit nuts,4.3,3.4,45.7,carbs
muesli master crumble,2.4,2.4,4.5,carbs
bran flakes,4.0,0.8,32.2,carbs
nut cereal,4.0,5.9,46.2,carbs
corn flakes,1.7,0.3,24.6,carbs
corn grits dry,0.7,0.2,7.7,carbs
cream cheese,0.9,5.0,0.8,fat
neufchatel cheese,7.8,19.4,3.1,fat
requeijao cremoso light catupiry,0.8,3.6,0.9,fat
ricotta cheese,1.5,2.0,1.5,fat
cream cheese low fat,1.2,2.3,1.2,fat
cream cheese fat free,2.8,0.2,1.4,protein
gruyere cheese,8.3,9.1,0.1,fat
cheddar cheese,6.4,9.3,0.9,fat
parmesan cheese,6.4,4.5,0.6,protein
romano cheese,1.6,1.3,0.2,protein
parmesan cheese grated,1.4,1.4,0.7,protein
port salut cheese,31.4,37.2,0.8,fat
swiss cheese,6.7,7.7,0.4,fat
goat cheese hard,8.6,10.1,0.6,fat
gouda cheese,7.0,7.7,0.6,fat
pepper jack cheese lucerne,5.0,6.0,0.0,fat
caraway cheese,7.1,8.3,0.9,fat
gjetost cheese,21.9,67.0,96.8,carbs
tilsit cheese,9.8,10.4,0.8,fat
goat cheese,6.1,8.4,0.01,fat
brick cheese,7.0,8.9,0.8,fat
asadero cheese,25.5,31.9,3.2,fat
camembert cheese,5.9,7.3,0.1,fat
provolone cheese reduced fat,27.9,19.9,4.0,protein
roquefort cheese,18.3,26.0,1.7,fat
queso blanco cheese,24.0,28.7,3.0,fat
queso seco cheese,23.8,23.6,2.0,protein
goat cheese soft,5.2,6.0,0.0,fat
mozzarella cheese,6.7,6.6,0.7,protein
chihuahua cheese,28.5,39.2,7.3,fat
limburger cheese,6.0,8.2,0.1,fat
muenster cheese,30.9,39.7,1.5,fat
queso fresco cheese,22.1,29.1,3.6,fat
brie cheese,6.2,8.3,0.1,fat
pimento cheese,31.0,43.7,2.4,fat
mexican cheese,27.7,21.7,3.8,protein
feta cheese,4.3,6.4,1.2,fat
mozzarella cheese fat free,35.8,0.0,4.0,protein
provolone cheese,33.8,35.1,2.8,fat
anejo cheese,28.3,39.6,6.1,fat
honey,0.08,0.0,17.3,carbs
apple butter,0.04,0.06,8.5,carbs
fruit jam,0.0,0.1,13.8,carbs
chocolate hazelnut spread,1.0,5.5,11.5,carbs
peanut butter,3.3,7.4,3.6,fat
peanut spread,3.8,8.5,2.2,fat
chicken spread,10.1,9.8,2.3,protein
cheese spread,17.0,68.6,8.4,fat
tahini,2.7,7.2,3.9,fat
orange marmalade,0.01,0.0,13.3,carbs
american cheese spread,2.6,3.4,1.4,fat
apricot jam,0.1,0.01,12.9,carbs
chunky peanut butter,3.8,8.0,3.5,fat
ham and cheese spread,2.4,2.8,0.3,fat
chicken and rice casserole homade,2.0,1.0,2.4,carbs
picnic loaf,4.2,4.7,1.3,fat
corn tamale,5.8,12.0,44.3,carbs
baked potato with cheese sauce bacon,18.4,25.9,44.4,carbs
chinese egg roll,7.4,10.6,24.3,carbs
butter croissant,4.7,12.0,26.1,carbs
enchilada with cheese beef,11.9,17.6,30.5,carbs
corned beef hash with potatoes,20.6,24.2,21.9,fat
biscuit with egg cheese bacon,17.4,25.3,35.4,carbs
bagel with ham egg cheese,26.7,18.5,52.4,carbs
quesadilla with chicken,27.1,27.5,43.3,carbs
corn rice,1.8,0.3,25.2,carbs
kung pao chicken,59.0,42.2,41.5,protein
beef empanada,10.1,16.3,27.8,carbs
frijoles with cheese,11.4,7.8,28.7,carbs
burrito with beef,9.1,8.1,43.9,carbs
crispy chicken sandwich,14.8,17.6,33.2,carbs
enchilada with cheese,15.4,25.3,21.2,fat
pork egg roll,8.4,6.1,25.1,carbs
corn on the cob with butter,4.5,3.4,31.9,carbs
pancakes with butter syrup,4.1,7.0,45.4,carbs
burrito with beans,7.0,6.7,35.7,carbs
scrambled eggs,6.5,7.6,1.0,fat
baked potato with sour cream,6.7,22.3,50.0,carbs
turkey and gravy,14.1,6.3,11.1,protein
chicken egg roll,8.4,3.6,22.8,carbs
vegetable egg roll,5.2,3.6,25.0,carbs
ham cheese roll,3.8,5.2,1.1,fat
biscuit with ham,13.4,18.4,43.8,carbs
lemon chicken,68.6,74.9,122.0,carbs
hummus,12.0,21.1,49.5,carbs
croissant with egg cheese,12.8,24.7,24.3,fat
enchirito with cheese beef beans,17.9,16.1,33.8,carbs
sweet sour pork,1.2,2.2,3.3,carbs
crab cake,11.3,10.4,5.1,protein
egg dinner roll,3.3,2.2,18.2,carbs
english muffin with egg cheese sausage,22.1,29.9,28.8,fat
buttermilk pancakes,2.6,3.5,10.9,carbs
omelet,6.4,7.1,0.4,fat
taco with chicken cheese lettuce,13.0,6.2,19.3,carbs
spinach souffle,10.7,17.6,8.0,fat
english muffin with cheese sausage,14.3,22.3,27.3,carbs
potato gratin,12.4,18.6,27.6,carbs
biscuit with egg,17.4,25.3,35.4,carbs
french fries deep fried,2.4,10.5,29.4,carbs
sweet sour chicken,1.8,2.3,4.4,carbs
burrito with beans beef,27.8,18.0,47.0,carbs
nachos with cinnamon sugar,7.2,36.0,63.4,carbs
arroz con grandules,4.0,5.7,35.4,carbs
chili con carne,14.7,8.8,33.1,carbs
arroz con abichuelas,6.2,5.4,37.3,carbs
biscuit with sausage,10.7,27.1,33.3,carbs
vegetarian stew,42.0,7.4,17.3,protein
chicken sandwich with cheese,29.4,38.8,41.6,carbs
biscuit with egg steak,17.9,28.4,21.3,fat
taco salad,10.0,11.2,17.9,carbs
succotash,9.7,1.5,46.8,carbs
nachos with cheese jalapeno peppers,16.8,34.1,60.1,carbs
biscuit with egg ham,20.4,27.0,31.4,carbs
ladyfingers,3.0,2.6,16.9,carbs
mozzarella steak fried,4.6,5.9,7.7,carbs
tamale navajo,11.7,11.4,33.7,carbs
blueberry pancakes,2.3,3.5,11.0,carbs
chimichanga with beef cheese,20.1,23.4,39.3,carbs
egg cheese sandwich,15.6,19.4,25.9,carbs
biscuit with egg bacon,17.0,31.1,28.6,fat
pupusas con queso,13.7,15.5,26.2,carbs
apple croissant,4.2,5.0,21.1,carbs
refried red beans,11.7,16.1,36.0,carbs
tostada with guacamole,6.2,11.6,16.0,carbs
chicken sandwich,30.4,20.9,39.1,carbs
fried rice,6.5,3.2,43.4,carbs
pupusas del cerdo,14.0,12.7,28.1,carbs
turkey pot pie,25.8,34.9,70.3,carbs
cheese croissant,7.4,16.7,37.6,carbs
chimichanga with beef,19.6,19.7,42.8,carbs
french toast with butter,5.2,9.4,18.0,carbs
ham egg cheese sandwich,19.2,16.3,30.9,carbs
english muffin with butter,4.9,5.8,30.4,carbs
savoury noodle one pan dinner tandaco,0.0,1.2,5.5,carbs
ham cheese sandwich,20.7,15.5,33.3,carbs
sweet gefilte fish,3.8,0.7,3.1,protein
poached egg,6.3,4.7,0.4,protein
tostada with beef cheese,19.0,16.3,22.8,carbs
tostada with beans cheese,9.6,9.9,26.5,carbs
pork tamale,10.4,12.8,22.4,carbs
nachos with cheese,3.5,17.2,27.9,carbs
pulled pork in barbecue sauce,32.8,11.0,46.7,carbs
baked potato with cheese sauce,14.6,28.7,46.5,carbs
baked beans,11.1,10.3,43.3,carbs
arroz con frijoles,6.8,5.6,35.6,carbs
taco with beef cheese lettuce,6.1,8.8,13.7,carbs
burrito with beans cheese beef,7.3,6.6,19.8,carbs
egg mix,2.4,2.2,0.1,protein
falafel,2.3,3.0,5.4,carbs
taco salad with chili con carne,11.6,8.8,17.7,carbs
wonton wrappers,3.1,0.5,18.5,carbs
hushpuppies,11.7,20.5,69.9,carbs
chicken pot pie,14.6,34.6,57.3,carbs
general tsos chicken,69.0,87.5,128.3,carbs
burrito with beans cheese,13.6,11.2,57.8,carbs
vegetarian fillets,19.6,15.3,7.7,protein
biscuit with egg sausage,18.0,33.6,34.1,carbs
chicken chow mein,40.8,16.9,50.1,carbs
fruit burrito,2.5,9.5,35.0,carbs
arroz con leche,8.1,9.3,63.0,carbs
caramel custard flan,13.9,12.3,69.7,carbs
gelatin dessert,3.3,0.0,38.3,carbs
chocolate milk dessert,5.9,1.4,51.6,carbs
chocolate mousse,6.2,24.0,24.1,carbs
dulce de leche,1.3,1.4,10.5,carbs
apple crisp,4.9,9.7,87.0,carbs
spinach spaghetti cooked,6.4,0.9,36.6,carbs
corn pasta cooked,3.7,1.0,39.1,carbs
spaghetti with meat sauce,14.3,2.9,43.1,carbs
pasta with meatballs in tomato sauce,10.6,13.0,28.3,carbs
cheese tortellini,14.6,7.8,50.8,carbs
pasta with sliced franks in tomato sauce,11.0,6.0,32.0,carbs
lasagna,9.0,6.1,18.9,carbs
macaroni cheese,12.6,9.4,43.7,carbs
vegetable lasagna,15.6,13.7,32.2,carbs
spinach egg noodles cooked,8.1,2.5,38.8,carbs
cheese lasagna,15.9,13.0,33.6,carbs
pasta with tomato sauce,5.6,1.8,35.1,carbs
spinach pasta cooked,1.4,0.3,7.1,carbs
vegetable chicken soup,12.3,4.8,21.1,carbs
bean ham soup,10.3,2.5,33.5,carbs
cream of chicken soup,6.0,14.5,18.0,carbs
tomato soup canned,6.3,3.3,22.6,carbs
egg drop soup,2.8,1.5,10.3,carbs
scotch broth,12.1,6.4,23.0,carbs
cream of onion soup,6.7,12.8,31.7,carbs
chicken broth dry,0.7,0.2,1.1,carbs
vegetable soup with beef broth,6.0,3.8,26.3,carbs
chili with beans canned,14.6,14.1,30.5,carbs
beef noodle soup,9.6,6.2,17.9,carbs
consomme dry,2.2,0.2,1.9,protein
chicken mushroom soup,2.0,6.1,15.1,carbs
beef vegetable soup,8.0,2.9,15.4,carbs
black bean soup,12.4,3.4,39.6,carbs
split pea soup with ham bacon,11.6,3.1,28.6,carbs
cream of mushroom soup,3.4,13.4,17.1,carbs
green pea soup,16.7,5.7,51.7,carbs
chicken broth soup,11.1,2.6,1.9,protein
chicken mushroom chowder soup,16.2,23.7,38.3,carbs
chicken dumplings soup,13.6,13.4,14.7,carbs
chicken vegetable soup,7.1,5.6,17.0,carbs
turkey vegetable soup,3.1,3.0,8.6,carbs
wonton soup,4.6,0.6,11.7,carbs
beef stock,4.7,0.2,2.9,protein
