nutrition_simplified
name,protein,fat,carbs,Macro
arepa,5.4,5.3,36.4,carbs
raisin bread toasted,2.5,1.4,16.5,carbs
cracked wheat bread,2.5,1.1,14.0,carbs
garlic bread,3.6,7.1,17.9,carbs
rye bread toasted,2.7,1.0,15.4,carbs
whole wheat bread,3.9,2.5,23.6,carbs
whole wheat bread toasted,3.9,2.5,23.7,carbs
pan dulce bread,5.9,7.3,35.5,carbs
rice bran bread toasted,2.4,1.3,11.8,carbs
pita bread whole wheat,2.7,0.7,15.4,carbs
wheat germ bread toasted,2.7,0.8,13.6,carbs
pumpernickel bread,2.3,0.8,12.4,carbs
frybread,10.2,18.6,73.4,carbs
white bread toasted,2.5,1.1,15.4,carbs
piki bread,2.5,2.0,20.2,carbs
wheat bread toasted,3.1,1.0,13.4,carbs
pita bread,5.5,0.7,33.4,carbs
potato bread,4.0,1.0,15.1,carbs
egg bread,3.8,2.4,19.1,carbs
oatmeal bread toasted,2.3,1.2,13.2,carbs
cheese bread,5.0,10.0,21.5,carbs
pumpernickel bread toasted,2.8,1.0,15.1,carbs
raisin bread,2.5,1.4,16.7,carbs
pumpernickel roll,3.0,0.8,14.8,carbs
cinnamon raisin bagel,2.5,0.4,14.4,carbs
english muffin,5.0,1.1,25.5,carbs
rye dinner roll,4.4,1.5,22.8,carbs
english muffin whole wheat,5.8,1.4,26.7,carbs
dinner roll whole wheat,2.4,1.3,14.3,carbs
dinner roll,2.4,1.8,12.9,carbs
hotdog roll,4.1,1.6,21.1,carbs
bagel,10.0,1.5,47.9,carbs
oat bran bagel,7.4,0.8,36.8,carbs
pain au chocolat de la boulangerie,0.0,12.0,0.0,fat
egg bagel,2.8,0.5,13.8,carbs
english muffin toasted,5.4,1.1,27.4,carbs
english muffin whole wheat toasted,5.9,1.4,26.9,carbs
biscuit,7.1,16.5,45.0,carbs
french roll,3.3,1.6,19.1,carbs
oat bran dinner roll,3.1,1.5,13.3,carbs
pecan shortbread cookies,0.7,4.6,8.2,carbs
oatmeal cookies,1.6,4.5,17.2,carbs
chocolate wafers,7.4,15.9,81.1,carbs
vanilla wafers low fat,4.0,12.2,58.9,carbs
chocolate chip cookies mcdonalds,1.6,6.4,18.7,carbs
gingersnap cookies,0.4,0.7,5.4,carbs
biscotti abbracci mulino bianco,0.4,2.6,0.8,fat
chocolate chip cookie,0.5,2.8,9.3,carbs
brownie,2.9,9.8,38.3,carbs
shortbread cookies,0.5,1.9,5.2,carbs
oatmeal cookies with raisins,1.0,2.4,10.3,carbs
peanut butter sandwich cookies,1.2,3.0,9.2,carbs
sugar cookies,0.8,3.2,10.2,carbs
chocolate covered graham crackers,0.8,3.2,9.3,carbs
raisin cookies,0.6,2.0,10.2,carbs
vanilla wafers,0.3,1.2,4.3,carbs
graham crackers,5.8,8.5,64.5,carbs
peanut butter cookies,1.8,4.8,11.8,carbs
vanilla sandwich cookie,0.7,3.0,10.8,carbs
sugar wafers with creme filling,0.4,2.3,7.1,carbs
cheese puffs,2.1,12.8,18.6,carbs
saltine crackers,0.3,0.3,2.2,carbs
trail mix,4.1,8.8,13.5,carbs
corn cones,1.6,7.6,17.8,carbs
chocolate pretzels,0.8,1.8,7.8,carbs
french toast sticks,1.3,3.8,8.9,carbs
crackers,1.1,4.2,9.8,carbs
sesame sticks,1.1,3.7,4.7,carbs
cheese crackers,0.8,1.6,4.2,carbs
oriental rice cracker mix,4.9,7.2,14.6,carbs
breadsticks,3.0,2.4,17.1,carbs
milk crackers,0.8,1.7,7.7,carbs
matzo crackers whole wheat,3.7,0.4,22.1,carbs
matzo crackers with egg,3.4,0.6,22.0,carbs
granola bites,0.4,0.9,3.3,carbs
crackers whole wheat,3.0,4.0,19.5,carbs
tropical trail mix,8.8,23.9,91.8,carbs
soft pretzels,9.4,3.6,79.8,carbs
corn tostada shell,0.8,2.9,7.9,carbs
matzo crackers,2.8,0.4,23.4,carbs
sesame crunch,0.2,0.6,0.9,carbs
trail mix with chocolate chips,20.7,46.6,65.6,carbs
cracker meal,10.7,2.0,93.0,carbs
puffed rice,2.4,0.2,34.1,carbs
filinchen gutena,0.4,0.2,0.5,carbs
melba toast crackers,3.6,1.0,23.0,carbs
matzo crackers with egg onion,2.8,1.1,21.6,carbs
cornnuts,2.4,4.4,20.3,carbs
bagel chips,21.6,26.5,116.1,carbs
pretzels,3.0,0.9,24.1,carbs
potato raw,4.3,0.2,37.2,carbs
gatto di patate home made,0.0,9.4,4.0,fat
baked potato,4.3,0.2,36.6,carbs
potato sticks,2.4,12.4,19.2,carbs
potato cooked,1.1,0.01,12.1,carbs
vivaldi potatoes sainsburys,0.0,0.1,0.0,fat
potato ham chowder soup,6.5,12.5,13.4,carbs
russet potato raw,7.9,0.3,66.7,carbs
russet potato baked,7.9,0.4,64.1,carbs
french fries,0.2,0.4,2.2,carbs
potato scalloped,7.0,9.0,26.4,carbs
cottage fries,0.2,0.4,1.9,carbs
mashed potatoes,4.0,6.8,35.5,carbs
mashed potato with milk and butter,3.9,8.9,35.3,carbs
red potato raw,4.0,0.3,33.9,carbs
potato pancake,1.3,3.2,6.1,carbs
potato puffs,2.6,11.0,35.5,carbs
red potato baked,2.0,0.1,16.7,carbs
potatoes canned,3.6,0.3,29.7,carbs
potato skin raw,1.0,0.1,4.7,carbs
shoestring french fries,0.1,0.1,0.7,carbs
hash brown potato,1.4,9.0,15.3,carbs
baked chips lays,0.0,2.0,0.0,fat
corn chips,1.9,10.0,17.2,carbs
nacho cheese tortilla chips low fat,2.4,1.0,18.5,carbs
corn chips barbecue,13.9,64.7,111.3,carbs
corn chips unsalted,5.8,29.4,50.5,carbs
potato chips fat free,21.9,1.4,190.1,carbs
sweet chilli kettle baked chips,2.0,2.2,2.1,fat
taro chips,0.05,0.6,1.6,carbs
potato chips reduced fat,12.1,35.4,113.7,carbs
onion snacks,2.3,6.8,19.5,carbs
potato chips cheese,14.5,46.2,98.1,carbs
yuca cassava chips,0.05,0.4,1.2,carbs
tortilla chips low fat,3.1,1.6,22.6,carbs
ranch flavor tortilla chips,14.2,48.8,124.2,carbs
potato chips,2.1,10.4,15.9,carbs
tortilla chips,2.1,6.2,20.3,carbs
sweet potato chips,0.8,9.1,15.9,carbs
nacho cheese tortilla chips,2.2,8.2,18.2,carbs
vegetable chips,1.5,6.6,17.1,carbs
taco flavor tortilla chips,17.9,54.9,143.2,carbs
potato chips barbecue,15.2,64.2,104.5,carbs
pita chips,3.5,4.6,20.5,carbs
potato chips sour cream and onion,16.0,67.1,102.0,carbs
adobo fresco,5.8,60.2,53.6,fat
chili pepper sauce red,0.1,0.09,0.6,carbs
creamy ranch sauce mcdonalds,0.3,14.7,1.0,fat
catsup,0.2,0.07,4.5,carbs
chili pepper sauce green,0.1,0.03,0.8,carbs
red wine vinegar,0.06,0.0,0.01,protein
fish sauce,0.9,0.01,0.7,protein
coleslaw dressing reduced fat,0.0,3.4,6.8,carbs
sour dressing,0.4,2.0,0.6,fat
guava sauce cooked,0.8,0.3,22.6,carbs
pizza sauce,5.5,2.9,21.8,carbs
sweetn sour sauce mcdonalds,0.2,0.3,11.0,carbs
nance syrup,0.03,0.0,0.8,carbs
french dressing reduced fat,0.07,2.2,4.7,carbs
peppercorn dressing,0.2,8.2,0.5,fat
sorghum syrup,0.0,0.0,15.7,carbs
ranch dressing fat free,0.04,0.3,3.7,carbs
caesar dressing low calorie,0.03,0.7,2.8,carbs
sweet sour dressing,0.08,0.0,0.6,carbs
mayonnaise imitation fat free,0.04,0.4,2.5,carbs
sofrito,26.4,37.5,11.2,fat
turkey gravy instant,0.8,1.0,3.9,carbs
teriyaki sauce,1.1,0.02,2.8,carbs
tomato sauce,2.9,0.7,13.0,carbs
barbecue sauce kraft,0.1,0.05,6.5,carbs
cranberry sauce sweetened,0.6,0.4,107.8,carbs
coleslaw dressing,0.1,5.3,3.8,fat
onion gravy dry,2.2,0.7,16.2,carbs
corn syrup light,0.0,0.09,16.9,carbs
bacon tomato dressing,0.3,5.3,0.3,fat
pancake syrup,0.0,0.08,13.9,carbs
balsamic vinegar,0.04,0.0,2.7,carbs
ranch dressing reduced fat,0.2,1.9,3.2,carbs
barbecue sauce mcdonalds,0.4,0.3,10.3,carbs
vinegar oil dressing,0.0,8.0,0.4,fat
poppyseed dressing,0.2,5.5,4.0,fat
honey mustard dressing,0.1,6.1,3.5,fat
french dressing fat free,0.01,0.02,5.1,carbs
vinegar,0.0,0.0,0.09,carbs
spray dressing,0.07,0.9,1.3,carbs
honey mustard dressing fat free,0.2,0.2,5.8,carbs
mushroom gravy,3.0,6.4,13.0,carbs
white sauce,9.6,26.6,22.9,fat
marinara pasta sauce,3.7,3.9,19.9,carbs
tomato sauce with mushrooms,3.6,0.3,20.7,carbs
pork gravy powder,0.6,0.6,4.3,carbs
beef gravy,8.7,5.5,11.2,carbs
green goddess dressing,0.3,6.5,1.1,fat
salsa con queso,7.9,23.8,27.9,carbs
cocktail sauce,0.2,0.2,4.2,carbs
worcestershire sauce,0.0,0.0,3.3,carbs
barbecue sauce,0.1,0.1,6.9,carbs
tomato sauce with onions,3.8,0.5,24.4,carbs
brown gravy dry,0.6,0.6,3.6,carbs
blue cheese dressing light,0.3,0.4,2.1,carbs
spanish tomato sauce,3.5,0.7,17.7,carbs
oyster sauce,0.2,0.07,2.0,carbs
cheese sauce,1.5,2.2,0.8,fat
hoisin sauce,0.5,0.5,7.1,carbs
pickle relish,0.1,0.06,5.3,carbs
tomato sauce with herbs cheese,5.2,4.7,25.0,carbs
french dressing,0.1,7.2,2.5,fat
mayonnaise hellmanns,0.0,1.7,0.09,fat
canadian maple syrup,0.0,0.0,19.1,carbs
maple syrup,0.09,0.05,13.4,carbs
barbecue sauce bulls eye,0.1,0.1,6.4,carbs
ranch dressing,0.2,6.7,0.9,fat
tomato ketchup mp,0.0,0.0,0.2,carbs
mayonnaise light,0.03,3.3,1.4,fat
mayonnaise dressing,0.0,11.7,0.07,fat
malt syrup,1.3,0.0,15.0,carbs
gravy dry,3.3,2.0,14.5,carbs
cranberry orange relish,0.8,0.3,127.1,carbs
caesar dressing,0.3,8.5,0.5,fat
italian dressing,0.03,3.1,1.8,fat
brown gravy instant,0.6,0.8,4.0,carbs
roquefort cheese dressing,0.8,1.1,0.4,fat
blue cheese dressing,0.2,7.7,0.7,fat
duck sauce,0.1,0.06,19.7,carbs
au jus,2.8,0.5,5.9,carbs
corn syrup dark,0.0,0.0,15.5,carbs
buttermilk dressing light,0.2,1.9,3.2,carbs
cider vinegar,0.0,0.0,0.1,carbs
tartar sauce,0.2,2.5,2.0,fat
pepper hot sauce,0.02,0.02,0.03,carbs
tomato chili sauce,0.2,0.1,1.2,carbs
turkey gravy dry,0.7,0.5,4.6,carbs
salsa sauce,0.3,0.04,1.2,carbs
steak sauce,0.2,0.0,3.7,carbs
molasses,0.0,0.07,14.9,carbs
italian dressing fat free,0.1,0.1,1.2,carbs
plum sauce,0.2,0.2,8.1,carbs
chow mein stir fry master foods,0.0,0.2,0.0,fat
beef gravy instant,0.7,0.6,4.1,carbs
horseradish,0.0,0.08,0.6,carbs
grenadine,0.0,0.0,13.4,carbs
tabasco sauce,0.04,0.0,0.01,protein
